cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
cluster_0,204511bf-b32f-4b39-aefa-180c0abd5ff2,"Haldiram - Mango Pickle, 1 Kg",mango pickle,Chutnies & Pickles,Chutnies & Pickles,Chutnies & Pickles
cluster_0,3a623bb9-b6b1-4cfe-ba29-3412573c8964,"Haldiram - Chilli Pickle, 1 Kg",chilli pickle,Chutnies & Pickles,Chutnies & Pickles,Chutnies & Pickles
cluster_0,a7ada4da-0615-478c-8c32-b832fd290676,"Haldiram - Mixed Pickle, 1 Kg",mixed pickle,Chutnies & Pickles,Chutnies & Pickles,Chutnies & Pickles
cluster_1,090302dc-a328-446d-9e28-895ba0158439,"Haldiram - Instant Mix Ragi Dosa, 200 Gram",instant mix ragi dosa,Instant Food,Instant Food,Instant Food
cluster_1,6aedc3d1-89bf-40ca-9ff4-6111153efb80,"Haldiram - Instant Mix Bedmi Poori, 200 Gram",instant mix bedmi poori,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_1,70eefc77-79ba-43f4-877e-9d07fa6e0910,"Haldiram - Instant Mix Jalebi, 200 Gram",instant mix jalebi,Instant Food,Instant Food,Instant Food
cluster_1,7b5add11-e245-4a5e-aac6-0ef8957df729,"Haldiram - Instant Mix Ragi Idli, 200 Gram",instant mix ragi idli,Instant Food,Instant Food,Instant Food
cluster_1,bc955a39-6f2b-4412-898e-d28414b689e7,"Haldiram - Instant Mix Sambar, 180 Gram",instant mix sambar,Instant Food,Instant Food,Instant Food
cluster_1,cd728f4c-0ac6-4574-b88d-a975ae89857e,"Haldiram - Instant Mix Coconut Chutney, 160 Gram",instant mix coconut chutney,Instant Food,Instant Food,Instant Food
cluster_1,dd1ecb47-889e-431e-9c7b-760371331ac2,"Haldiram - Instant Mix Bhatura, 200 Gram",instant mix bhatura,Instant Food,Instant Food,Instant Food
cluster_2,04ce8b0f-aeec-4305-8fe7-9cd2782c5aff,"Haldiram - Apple Cinnamon Smoothie, 280 ml",apple cinnamon smoothie,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients
cluster_2,89eb6969-e238-4478-8883-0412feed00f6,"Haldiram - Strawberry Smoothie, 280 ml",strawberry smoothie,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients
cluster_3,5af80920-64aa-42a1-9dd7-8a887901ea20,"Haldiram - Whole Wheat Pizza Base, 140 Gram",whole wheat pizza base,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_3,60508364-47a4-499d-b609-80d970f74542,"Haldiram - Ragi Pizza Base, 140 Gram",ragi pizza base,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_4,1032a911-7ac8-4e23-91b1-4097ad89fa6d,"Haldiram - Assorted Cup Cake, 140 Gram",assorted cup cake,Cakes,Cakes,Cakes
cluster_4,99a7e569-3e5f-44b2-98c2-22af8a15d63c,"Haldiram - Muffin Assorted, 140 Gram",muffin assorted,Cakes,Cakes,Cakes
cluster_5,319e9c19-2570-4ea9-8b0a-22035f7446ac,"Haldiram - Pudina Chaas, 280 ml",pudina chaas,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients
cluster_5,4e90bca4-7d3f-4383-b00d-13be4a68efb1,"Haldiram - Amarkhand, 180 Gram",amarkhand,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients
cluster_6,00dc5163-1fd1-4bfd-9740-484f754e3501,"Haldiram - Roll Poll Wafer Roll Red Velvet, 5 x 40 Pcs Jar",roll poll wafer roll red velvet x pcs,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_6,04a43867-2e1c-4399-b738-2a6e7496bf68,ROLL POLL WAFER ROLL BANANA 5 X 40 PCS JAR,roll poll wafer roll banana x pcs,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_6,2b1ca557-3922-4065-9622-53543739ae68,ROLL POLL WAFER ROLL RED VELVET 5 X 40 PCS JAR,roll poll wafer roll red velvet x pcs,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_6,751e65ee-5e67-4e15-8d04-cbfc8e8635cc,ROLL POLL WAFER ROLL VANILLA CREAM 5 X 40 PCS JAR,poll wafer vanilla cream x pcs,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_6,88575939-ee5a-4ca6-9249-08911c905446,Haldiram - Roll Poll Wafer Roll Banana 5 x 40 Pcs Jar,roll poll wafer roll banana x pcs,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_7,2d1f5249-5fec-45be-a055-91c960e80c14,"Haldiram - Kadhi Pakoda With Plain Rice, 350 Gram",kadhi pakoda with plain rice,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_7,973b2ae3-4580-4ce6-874c-187394a40d36,"Haldiram - Rajma With Plain Rice, 350 Gram",rajma with plain rice,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_7,da226e46-308c-4d05-a7ce-2fca40ffb347,"Haldiram - Dal Tadka With Plain Rice, 350 Gram",dal tadka with plain rice,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_8,7a2cd759-7d35-473b-ba09-dabb14981b41,"Haldiram - Choley With Plain Rice, 350 Gram",choley with plain rice,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_8,7dd1b13f-78e6-46de-b13d-dd69e9770f8b,"Haldiram - Fried Rice, 75 Gram",fried rice,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_8,afecd246-c043-4615-88f2-27e5552de798,"Haldiram - Purani Dilli Choley With Plain Rice, 350 Gram",purani dilli choley with plain rice,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_9,21db99af-a7d3-42cd-9cae-3a1c04fa96f2,"Haldiram - Sundried Tomato Focaccia, 200 Gram",sundried tomato focaccia,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_9,84655222-6858-46a9-8429-ef5fdc04081a,"Haldiram - Mediterranean Focaccia, 200 Gram",mediterranean focaccia,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_10,322ebf75-90e0-4b99-860e-71491927bed8,"Haldiram - Pink Pasta, 300 Gram",pink pasta,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_10,de1535d8-5673-4b1a-99ca-f94ced9f450d,"Haldiram - Creamy Cheesy Spaghetti, 300 Gram",creamy cheesy spaghetti,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_11,1f56ca4f-88c2-44f2-a46a-01c9df8e17b0,"Haldiram - Salad Waldorf, 250 Gram",salad waldorf,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_11,c7c33f78-37a6-4d3b-b971-d6d3a2120f2a,"Haldiram - Salad Three Beans, 300 Gram",salad three beans,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_12,b3657f35-8786-49e0-aebf-05475a0d1bfc,"Haldiram - Croissant Pudding, 180 Gram",croissant pudding,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_12,f5e92d7c-da3a-485f-b160-84ae3c6320c4,"Haldiram - Assorted Crostini, 200 Gram",assorted crostini,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_13,77919692-c112-4261-b90d-9f3a6832449c,"Haldiram - Mazedaar Kissey, 555 Gram",mazedaar kissey,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_13,c7d5fe0a-ab58-4867-b037-c743255ba9de,"Haldiram - Mazedaar Kissey, 565 Gram",mazedaar kissey,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_14,748231c7-a652-4d48-a430-d9a29e2b5300,"Haldiram - Mazedar Kissey, 555 Gram",mazedar kissey,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_14,df30ec7d-806c-4e86-906f-887441b655d2,"Haldiram - Mazedar Kissey, 615 Gram",mazedar kissey,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_15,5142a5f5-3f06-4602-b19f-922748e37cd8,"Haldiram - Rice Crispies And Almond Cluster In White Compound, 100 Gram",rice crispies and almond cluster in white compound,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_15,91b9f226-f41d-47c4-a0d0-50519b428723,"Haldiram - Rice Crispies And Almond Cluster In Milk Compound, 100 Gram",rice crispies and almond cluster in milk compound,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_16,25d03d00-0832-46ec-8212-a14852246e35,"Haldiram - Dal Makhani With Peas Pulao, 350 Gram",dal makhani with peas pulao,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_16,9d3b5a91-275d-4eb8-a204-cffa96c4a5ed,"Haldiram - Dal Makhani With Peas Pulao, 350 Gram",dal makhani with peas pulao,Ready To Cook & Eat,Ready To Cook & Eat,Ready To Cook & Eat
cluster_17,2bd72c13-f5cf-4322-b0cb-dd965aad15bc,"Haldiram - Rose Syrup, 100 ml",rose syrup,Syrups & Squashes,Syrups & Squashes,Syrups & Squashes
cluster_17,54306638-1cc8-4cc3-a4e5-34bfa445f94b,"Haldiram - Rose Syrup, 250 ml",rose syrup,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_17,acbc6fb2-df9b-4125-829a-06121bf03a3e,"Haldiram - Rose Faluda, 200 Gram",rose faluda,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_18,87a5e8ec-676e-40b0-b609-4b909c4a3452,"Haldiram - Thandai Syrup, 250 ml",thandai syrup,Syrups & Squashes,Syrups & Squashes,Syrups & Squashes
cluster_18,d9d3abfc-3c1e-40f6-b5a0-ea24eef43aa3,"Haldiram - Thandai Syrup, 100 ml",thandai syrup,Syrups & Squashes,Syrups & Squashes,Syrups & Squashes
cluster_19,593a8c20-44cd-41fe-a3a1-65eb4d282520,"Haldiram - Kasoori Methi, 50 Gram",kasoori methi,Herbs & Seasonings,Herbs & Seasonings,Herbs & Seasonings
cluster_19,8c0e3fbe-14c4-4df7-b243-6c4a4a605282,"Haldiram - Kasoor Methi, 100 Gram",kasoor methi,Herbs/Spices,"Herbs, Spices",Herbs
cluster_19,9d0cd5f0-c342-468d-8315-1f7e0e7d252d,"Haldiram - Kasoori Methi, Box 25 Gram",kasoori methi box,Herbs & Seasonings,Herbs & Seasonings,Herbs & Seasonings
cluster_20,3e4f5c5e-8301-40eb-b549-77bde9da7fa9,"Haldiram - Shahi Paneer Box, 50 Gram",shahi paneer box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_20,b90204ed-eb83-4c5a-92a2-5dd581fdd5fa,"Haldiram - Shahi Paneer, 100 Gram",shahi paneer,Powdered Spices,Powdered Spices,Powdered Spices
cluster_21,63ca8ecb-433a-4ad7-8168-846be04e4186,"Haldiram - Chana Masala, 50 Gram",chana masala,Powdered Spices,Powdered Spices,Powdered Spices
cluster_21,f516d7db-a44d-4211-a6f4-631cb44a1919,"Haldiram - Chana Masala, 100 Gram",chana masala,Powdered Spices,Powdered Spices,Powdered Spices
cluster_22,8cac34ee-b816-412f-81c5-27beb0b9fe84,"Haldiram - Gol Mathi, Rs.5/-",gol mathi,Bhujia / Namkeen,"Bhujia, Namkeen",Bhujia
cluster_22,8f56f2b1-bb38-4cb7-9702-585859f43d8b,"Haldiram - Gol Mathi, Rs.10/-",gol mathi,Bhujia / Namkeen,"Bhujia, Namkeen",Bhujia
cluster_23,3d7cae83-c776-4b31-afe7-bad5918e70f8,"Haldiram - Pav Bhaji Box, 50 Gram",pav bhaji box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_23,715b3832-3078-44a5-aaac-3e55b4b96205,"Haldiram - Pav Bhaji, 100 Gram",pav bhaji,Herbs/Spices,"Herbs, Spices",Herbs
cluster_24,3381d713-a264-456a-a619-ef98e26d0cf5,"Haldiram - Sambhar Masala, 100 Gram",sambhar masala,Herbs/Spices,"Herbs, Spices",Herbs
cluster_24,91cdd53d-0cb0-4a38-9215-902bac730435,"Haldiram - Sambhar, 50 Gram",sambhar,Powdered Spices,Powdered Spices,Powdered Spices
cluster_25,6fcb6b55-6de8-4f2f-95f7-10e4e19bb171,"Haldiram - Cheese And Pesto Twists, 180 Gram",cheese and pesto twists,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_25,f54fe63f-a1fc-4198-af8c-ceb7288f7709,"Haldiram - Cheese And Paprika Twists, 180 Gram",cheese and paprika twists,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_25,f7340211-6c61-4c01-8065-1dff13ff269c,"Haldiram - Basil Pesto, 180 Gram",basil pesto,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_26,0da21f45-998a-4493-b978-cbd8e4305c99,"Haldiram - Sabzi Masala, 100 Gram",sabzi masala,Herbs/Spices,"Herbs, Spices",Herbs
cluster_26,199ec48c-98b2-48a4-9d67-90bcb447e937,"Haldiram - Sabzi Masala Box, 50 Gram",sabzi masala box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_26,87879322-11af-4bdc-8ce9-5651fda6ba1d,"Haldiram - Garam Masala, 100 Gram",garam masala,Herbs/Spices,"Herbs, Spices",Herbs
cluster_26,dfca6b7f-cc59-46f0-9faf-1622c4c0beb9,"Haldiram - Garam Masala, 50 Gram",garam masala,Powdered Spices,Powdered Spices,Powdered Spices
cluster_27,38785c37-deac-4424-a3eb-e1bfb19da6f5,"Haldiram - Chaat Masala, 50 Gram",chaat masala,Powdered Spices,Powdered Spices,Powdered Spices
cluster_27,55ceb6cb-c001-4891-92d1-4a16ce8ea5ab,"Haldiram - Chaat Masala, 100 Gram",chaat masala,Herbs/Spices,"Herbs, Spices",Herbs
cluster_28,10a8f3f6-445b-4927-ba1b-a46d20ecbecc,"Haldiram - Mirch Kutti, 100 Gram",mirch kutti,Herbs/Spices,"Herbs, Spices",Herbs
cluster_28,411b6897-0b32-44e1-8b8f-0c3164d02480,"Haldiram - Mirch Kutti, 50 Gram",mirch kutti,Herbs & Seasonings,Herbs & Seasonings,Herbs & Seasonings
cluster_28,f285e1a2-185e-4702-98cd-68f5d3b65c27,"Haldiram - Mirch Kutti Box, 100 Gram",mirch kutti box,Herbs/Spices,"Herbs, Spices",Herbs
cluster_29,041ae4a5-6cbd-4c4d-9c86-ee3255e1976f,"Haldiram - Gourmet Marzipan Delicacies, 500 Gram",gourmet marzipan delicacies,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_29,4e3e1183-bb8a-4ba0-a0dd-7097ec3ffa1b,"Haldiram - Hr Marzipan Box -16 Pc, 238 Gram",hr marzipan box pc,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_29,706280cb-f3e4-4b37-b092-5b8b3b080cf4,"Haldiram - Marzipan Box, 9 Pieces, 180 Gram",marzipan box pieces,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_29,803c1d81-2306-47a9-8eda-cd1aa18c6938,"Haldiram - Assorted Marzipan Tin, 355 Gram",assorted marzipan,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_29,c31436ed-3e40-4dfd-9db0-7d9217eab8dc,"Haldiram - Marzipan - Classic 12 Pcs, 150 Gram",marzipan classic pcs,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_29,dc5582f3-48ed-45ef-a73e-d59b1617f4a7,"Haldiram - Marzipan, 10 Pieces Box, 134 Gram  Box",marzipan pieces box box,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_30,67831c99-77ff-46af-83a9-14a459ed1eb1,"Haldiram - Dal Makhani Box, 50 Gram",dal makhani box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_30,8934efee-3534-4ca1-9fbc-e46a0f9f44f1,"Haldiram - Dal Makhani, 100 Gram",dal makhani,Powdered Spices,Powdered Spices,Powdered Spices
cluster_31,8d9530ed-eb87-4eb0-b24d-c15c48f23095,"Haldiram - Amchur Powder, 100 Gram",amchur powder,Herbs/Spices,"Herbs, Spices",Herbs
cluster_31,d4cac31b-542a-4ee0-8e28-bd0d2c3dc0f6,"Haldiram - Amchur Powder, 50 Gram",amchur powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_31,f879f24d-efd1-41e8-863c-bcaac3dc868b,"Haldiram - Amchoor Powder Box, 50 Gram",amchoor powder box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_32,462a7ef7-2029-4d90-8b89-8d9191dfe23b,"Haldiram - Dhania Powder, 100 Gram",dhania powder,Herbs/Spices,"Herbs, Spices",Herbs
cluster_32,7d93dcd8-361b-4a3d-807b-1b463ccd9d9d,"Haldiram - Dhania Powder Box, 100 Gram",dhania powder box,Herbs/Spices,"Herbs, Spices",Herbs
cluster_33,2ccafb17-2cdc-4687-8b8f-84d612461bad,"Haldiram - Dhania Powder, 200 Gram",dhania powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_33,c229c453-3219-4c31-813c-16a080f7c22e,"Haldiram - Dhania Powder, 500 Gram",dhania powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_33,c853b7d7-8705-4353-88c3-62a477193f83,"Haldiram - Dhania Powder, 50 Gram",dhania powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_34,3b4c291c-79ac-44d4-98b4-26b51ba167f5,"Haldiram - Snaclite Roasted Murmura Mixture, Rs.10/-",snaclite roasted murmura mixture,Bhujia / Namkeen,"Bhujia, Namkeen",Bhujia
cluster_34,4112ffa4-b642-4dc4-b230-0432519ba17e,"Haldiram - Snaclite Roasted Murmura Mixture, Rs.5/-",snaclite roasted murmura mixture,Bhujia / Namkeen,"Bhujia, Namkeen",Bhujia
cluster_35,1f0b7cab-d03f-4957-8e49-8b0dc360c2d0,"Haldiram - Rajma, 100 Gram",rajma,Powdered Spices,Powdered Spices,Powdered Spices
cluster_35,98267672-536b-4f3b-a9bd-b041177bd6f1,"Haldiram - Rajma Box, 50 Gram",rajma box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_36,3c05659c-b3c1-4404-b667-645f80aad88c,"Haldiram - Jal Jeera Box, 50 Gram",jal jeera box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_36,56f80790-7a95-405d-8774-d0100014876b,"Haldiram - Jeera Powder Box, 100 Gram",jeera powder box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_36,7b202cd9-ad99-4f2b-bc43-a6e9ebc97505,"Haldiram - Jal Jeera, 100 Gram",jal jeera,Herbs/Spices,"Herbs, Spices",Herbs
cluster_36,a4302dff-5fe3-4805-a0af-2d46c7f1e293,"Haldiram - Jeera Powder, 100 Gram",jeera powder,Herbs/Spices,"Herbs, Spices",Herbs
cluster_36,bb2f280f-1c91-48c1-bb15-166eb424c582,"Haldiram - Jeera Powder, 50 Gram",jeera powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_37,cd1abb5a-9bb7-431e-8e41-2b53d8515291,"Haldiram - Kashmiri Mirch Box, 50 Gram",kashmiri mirch box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_37,d36ed29f-61e6-41ec-a634-7db7134fe14b,"Haldiram - Kashmiri Mirch Powder, 100 Gram",kashmiri mirch powder,Herbs/Spices,"Herbs, Spices",Herbs
cluster_38,38db07f5-353a-42c2-a5bc-fe5c9b94daff,"Haldiram - Ginger Powder Box, 50 Gram",ginger powder box,Powdered Spices,Powdered Spices,Powdered Spices
cluster_38,cde3ca5b-41fd-4c92-a758-e2f756472ca6,"Haldiram - Ginger Powder, 100 Gram",ginger powder,Herbs/Spices,"Herbs, Spices",Herbs
cluster_39,87303241-4964-4dcc-be9e-94acf106982c,"Haldiram - Lal Mirch Powder, 500 Gram",lal mirch powder,Herbs/Spices,"Herbs, Spices",Herbs
cluster_39,d4f453e2-ec64-428b-87f8-16bd8b0d1ab7,"Haldiram - Lal Mirch Powder, 100 Gram Box",lal mirch powder box,Herbs/Spices,"Herbs, Spices",Herbs
cluster_40,abef5b85-1126-4249-832c-6248c9962c68,"Haldiram - Lal Mirch Powder, 50 Gram",lal mirch powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_40,bcae1cce-d81c-4d5d-81b8-e27328f05d21,"Haldiram - Lal Mirch Powder, 100 Gram",lal mirch powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_40,e40067e7-58e2-4f9e-8ff1-964f729237a8,"Haldiram - Lal Mirch Powder, 200 Gram",lal mirch powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_41,31f2d89c-ab3b-4852-91c1-4b8f68ddf03b,"Haldiram - Black Pepper Powder, 100 Gram",black pepper powder,Herbs/Spices,"Herbs, Spices",Herbs
cluster_41,3847731d-ef1a-4cbd-948d-c64bed0b1f5c,"Haldiram - Black Pepper Powder, 50 Gram",black pepper powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_42,71ca8ce8-eaa0-41fd-96fc-b19b4de6b2bb,"Haldiram - Haldi Powder, 200 Gram",powder,Herbs/Spices,"Herbs, Spices",Herbs
cluster_42,7c0044d3-41f8-4899-89a2-9e08b1b43a58,"Haldiram - Haldi Powder, 100 Gram Box",powder box,Herbs/Spices,"Herbs, Spices",Herbs
cluster_43,642e5959-31f0-407d-a62a-e855305eca1a,"Haldiram - Haldi Powder, 50 Gram",powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_43,76bcb097-a05c-4c68-830b-0450dc3701b9,"Haldiram - Haldi Powder, 100 Gram",powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_43,a601cfe3-6064-4185-8fa8-524206da503c,"Haldiram - Haldi Powder, 500 Gram",powder,Powdered Spices,Powdered Spices,Powdered Spices
cluster_44,9f5a83c4-4668-4a36-aff9-f9f83f5b00ef,"Haldiram - Pinni, 500 Gram",pinni,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_44,c5a58935-1957-4bc2-a3b8-93a530c866b3,"Haldiram - Pinni, 1 Kg",pinni,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_45,3d010619-e058-4eeb-830d-3b5259cab931,"Haldiram - Cheese Puffcorn, Rs.5/-",cheese puffcorn,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_45,3f1accf7-1094-4663-aab9-9748a7d89981,"Haldiram - Cheese Puffcorn, Rs.10/-",cheese puffcorn,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_46,be825c57-1b07-4f66-9a61-7f2cc55256ef,"Haldiram - Ajwain Puff, 200 Gram",ajwain puff,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_46,cc0bd6e9-571c-4653-91a8-ffa5a510d688,"Haldiram - Ajwain Puff, 400 Gram",ajwain puff,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_47,0d2cb66d-bf1b-4030-8111-cf2a08cdf9d6,"Haldiram - Panchrattan, Rs.10/-",panchrattan,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_47,1d24282f-a28e-4f37-bb63-e39cb704cca3,PANCHRATTAN 20 GM,panchrattan,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_47,4a1349ac-6fe1-48f0-b53f-6497afa1e50d,"Haldiram - Panchrattan, 400 Gram",panchrattan,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_47,61176142-a971-44a7-b319-eff0f56466ff,"Haldiram - Aam Panna, 180 ml",aam panna,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_47,91801d90-aaba-4bb5-9863-c404982f62a3,"Haldiram - Panchrattan, 200 Gram",panchrattan,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_48,3a9b7609-4bc3-468b-82ca-4a29194a8743,"Haldiram - Khari Fan, 300 Gram",khari fan,Biscuits,Biscuits,Biscuits
cluster_48,3fdb35dc-80b9-4e3f-b683-d2a6f47143dd,"Haldiram - Kulcha, 230 Gram",kulcha,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_48,61c70ae2-fc67-421d-a6cc-5989b01c1ce6,"Haldiram - Khari Fan, 500 Gram",khari fan,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_48,a9718206-ebc8-44c4-a8be-437f5118fcd0,"Haldiram - Fan Khari, 250 Gram",fan khari,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_49,8b6b0161-42e7-427d-916c-d14d2dfd896d,"Haldiram - Chocolate Milk, 200Ml",chocolate milk,Milk and Dairy Products,Milk and Dairy Products,Milk and Dairy Products
cluster_49,d4d41dee-a3e7-4a39-8edb-e8c412f76a1a,"Haldiram - Chocolate Milk, 200 ml",chocolate milk,Milk and Dairy Products,Milk and Dairy Products,Milk and Dairy Products
cluster_50,59e2089e-d3ef-4776-a07c-3edf3746bfa1,"Haldiram - Strawberry Milk, 200 ml",strawberry milk,Milk and Dairy Products,Milk and Dairy Products,Milk and Dairy Products
cluster_50,bf2308a1-8a6d-4c1a-9cd3-01e9bef9b43b,"Haldiram - Strawberry Milk, 200 ml",strawberry milk,Milk and Dairy Products,Milk and Dairy Products,Milk and Dairy Products
cluster_51,38d59699-fe61-46cf-a844-70c2aca95ffd,"Haldiram - Ginger Bread Housewall, 100 Gram",ginger bread housewall,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_51,88331cd7-8328-4c6d-8925-78304074e46a,"Haldiram - Ginger Bread Goodies, 50 Gram",ginger bread goodies,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_51,890a382d-489a-4469-88b0-bf7126e23e74,"Haldiram - Ginger Bread Goodies, 50 Gram",ginger bread goodies,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_52,08e2adef-d4b3-4d74-bdfc-f0cc1ad8a8f3,"Haldiram - Son Papadi, 100 Gram",son papadi,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_52,76f274ba-5f34-4848-8c9c-a74bc590d5c3,"Haldiram - Son Papadi, 250 Gram",son papadi,Indian sweets,Indian sweets,Indian sweets
cluster_53,269fb700-f4c7-4db0-8841-725d764f953c,"Haldiram - Nut Mix Spicy Treat, 42 Gram",nut mix spicy treat,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_53,74ee3170-695b-4e77-81f6-8afbf25f283a,NUT MIX SPICY TREAT 42 GM,nut mix spicy treat,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_54,4368d70d-63a2-48ff-bfca-524737746ecd,"Haldiram - Delectable Lohri Specials, 2.532 Kg",delectable lohri specials kg,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_54,4e8aff09-88bf-4395-8a1e-c3516b5ee4d3,"Haldiram - Lohri Celebration Hamper, 2.134 Kg",lohri celebration hamper kg,Confectionery/Chocolates,"Confectionery, Chocolates",Confectionery
cluster_55,c2204f63-c910-49ed-a964-55a32b2b5e87,"Haldiram - Peeloz French Vanilla, Rs.10/-",peeloz french vanilla,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_55,f9e9f1fa-7ee6-49b3-b676-bc1cc9bbef6f,PEELOZ FRENCH VANILLA 30 GM,peeloz french vanilla,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_56,1603318e-ba90-4953-9de5-785e4c505791,"Haldiram - Cherish Whole Wheat Lavash, 150 Gram",cherish whole wheat lavash,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_56,28eea84f-8c12-44ca-8941-33001cb9a814,"Haldiram - Cherish Garlic & Cheese Lavash, 150 Gram",cherish garlic cheese lavash,Bread/Bakery Products,"Bread, Bakery Products",Bread
cluster_56,9bcf38ab-d590-4de3-b70e-662aa6a543bd,"Haldiram - Cherish Garlic, 150 Gram",cherish garlic,Bread/Bakery Products,"Bread, Bakery Products",Bread
